<<<<<<< HEAD
idutente,idopera,valutazione
1,10,1
1,11,1
1,7,2
1,110,4
1,100,4
1,60,1
1,1,5
1,28,4
1,20,3
1,37,2
1,51,4
1,73,2
1,107,4
1,38,5
1,30,5
1,64,5
1,53,3
1,105,4
1,21,1
1,43,4
1,108,2
1,84,2
1,25,3
1,79,5
1,82,2
1,98,3
1,109,5
1,89,3
1,69,1
1,29,3
1,26,4
1,5,5
1,50,1
1,75,1
1,57,5
1,102,5
1,103,1
1,45,2
1,112,4
1,88,5
1,3,1
1,62,5
1,36,4
1,46,2
1,99,1
1,24,5
1,22,2
1,96,2
1,44,4
1,74,3
2,29,1
2,57,5
2,98,2
2,82,1
2,19,1
2,31,2
2,1,5
2,87,5
2,102,3
2,93,5
2,6,2
2,104,3
2,75,4
2,48,5
2,28,2
2,32,2
2,44,1
2,27,4
2,96,1
2,89,3
2,61,1
2,86,4
2,70,1
2,74,3
2,3,3
2,54,5
2,105,3
2,22,4
2,72,5
2,2,4
2,18,1
2,15,5
2,16,4
2,90,5
2,24,4
2,36,2
2,84,3
2,38,1
2,81,1
2,76,2
2,112,3
2,10,1
2,14,5
2,58,5
2,106,5
2,108,2
2,51,2
2,25,1
2,52,3
2,100,5
3,45,2
3,19,3
3,56,3
3,82,1
3,54,1
3,51,2
3,98,1
3,85,4
3,71,5
3,65,3
3,67,4
3,81,1
3,27,2
3,7,1
3,40,4
3,23,1
3,103,2
3,4,1
3,31,4
3,92,1
3,68,4
3,77,2
3,112,5
3,107,3
3,11,5
3,87,5
3,13,5
3,91,1
3,100,5
3,33,4
3,36,1
3,22,4
3,96,3
3,3,2
3,90,1
3,35,1
3,52,3
3,8,1
3,63,1
3,84,3
3,9,5
3,57,5
3,99,4
3,46,5
3,25,1
3,111,1
3,5,4
3,76,2
3,89,3
3,41,3
4,55,1
4,53,1
4,90,2
4,52,1
4,1,2
4,92,2
4,81,1
4,98,1
4,32,3
4,62,4
4,13,5
4,50,3
4,94,3
4,104,5
4,39,4
4,97,5
4,33,3
4,63,5
4,37,5
4,18,4
4,21,3
4,51,2
4,100,2
4,87,1
4,58,3
4,71,2
4,72,1
4,9,4
4,85,1
4,47,4
4,34,1
4,4,5
4,108,2
4,44,3
4,56,4
4,2,1
4,91,4
4,42,1
4,3,4
4,29,4
4,111,4
4,89,3
4,30,4
4,99,1
4,65,5
4,7,5
4,20,2
4,68,1
4,22,3
4,17,1
5,24,5
5,66,4
5,83,2
5,92,5
5,11,4
5,15,1
5,31,5
5,13,2
5,80,4
5,74,3
5,64,5
5,55,1
5,97,5
5,27,4
5,44,4
5,18,3
5,112,2
5,104,4
5,33,2
5,76,1
5,2,5
5,82,5
5,60,2
5,6,2
5,89,3
5,7,2
5,28,1
5,61,4
5,108,3
5,81,1
5,57,5
5,58,4
5,38,2
5,75,3
5,45,1
5,10,5
5,47,1
5,102,5
5,79,3
5,100,4
5,30,5
5,3,3
5,25,2
5,26,1
5,69,4
5,35,2
5,29,3
5,42,2
5,98,2
5,62,2
6,27,3
6,32,2
6,52,2
6,76,1
6,66,3
6,39,2
6,75,1
6,83,1
6,72,1
6,57,3
6,92,2
6,55,5
6,73,4
6,80,1
6,97,3
6,85,2
6,34,1
6,10,1
6,101,2
6,40,5
6,61,5
6,86,3
6,78,2
6,65,4
6,46,1
6,5,4
6,79,1
6,84,3
6,51,2
6,20,3
6,102,5
6,104,3
6,8,1
6,98,1
6,7,3
6,87,5
6,54,4
6,95,1
6,15,1
6,77,4
6,6,1
6,103,5
6,3,2
6,81,2
6,45,2
6,49,1
6,38,1
6,22,4
6,70,1
6,63,2
7,53,4
7,27,3
7,38,5
7,103,5
7,111,4
7,10,3
7,97,4
7,42,1
7,33,2
7,3,1
7,81,3
7,105,3
7,112,3
7,4,2
7,19,3
7,68,5
7,65,4
7,52,3
7,37,2
7,47,3
7,70,3
7,15,2
7,20,3
7,88,5
7,100,2
7,39,3
7,55,1
7,32,4
7,101,1
7,24,2
7,92,4
7,44,1
7,36,2
7,90,5
7,74,5
7,56,2
7,35,3
7,77,4
7,78,2
7,60,5
7,76,5
7,89,2
7,2,4
7,23,4
7,95,2
7,108,5
7,62,5
7,93,5
7,104,5
7,7,5
8,47,4
8,97,3
8,105,1
8,87,3
8,26,2
8,58,1
8,39,5
8,72,4
8,88,1
8,98,1
8,59,3
8,74,5
8,4,1
8,40,4
8,30,5
8,16,4
8,108,4
8,79,1
8,19,2
8,6,3
8,63,5
8,9,4
8,46,3
8,94,5
8,41,2
8,86,3
8,101,2
8,37,2
8,27,5
8,70,2
8,111,2
8,43,3
8,44,5
8,36,2
8,45,3
8,68,3
8,73,2
8,71,4
8,104,4
8,53,1
8,91,2
8,21,3
8,2,3
8,18,2
8,76,5
8,67,2
8,99,1
8,7,2
8,65,4
8,107,5
9,52,5
9,79,2
9,53,3
9,72,4
9,100,1
9,101,5
9,98,4
9,95,4
9,71,3
9,47,5
9,111,4
9,96,4
9,39,5
9,89,3
9,46,1
9,83,1
9,99,4
9,28,4
9,11,3
9,76,1
9,78,3
9,18,2
9,50,5
9,41,3
9,80,3
9,61,1
9,19,4
9,7,5
9,60,2
9,9,4
9,69,4
9,37,1
9,109,4
9,4,2
9,16,4
9,32,4
9,6,2
9,54,3
9,25,4
9,64,3
9,23,5
9,49,1
9,82,2
9,44,3
9,51,4
9,105,2
9,77,1
9,15,2
9,2,1
9,8,4
10,62,1
10,37,3
10,56,3
10,32,1
10,100,3
10,43,1
10,74,2
10,66,5
10,102,4
10,5,5
10,83,5
10,54,3
10,25,5
10,51,5
10,24,1
10,4,1
10,57,4
10,109,3
10,3,4
10,42,1
10,61,4
10,8,1
10,15,5
10,71,5
10,31,5
10,112,5
10,12,2
10,23,4
10,85,1
10,48,1
10,98,1
10,34,2
10,47,5
10,93,5
10,67,5
10,80,2
10,2,1
10,69,5
10,79,4
10,11,4
10,14,5
10,87,2
10,94,2
10,72,2
10,30,4
10,91,3
10,13,1
10,68,4
10,19,2
10,49,3
=======
﻿idutente,idopera,valutazione
1,1,4
1,2,1
1,3,2
1,4,5
1,5,2
1,6,4
1,7,5
1,8,2
1,9,5
1,10,4
1,11,4
1,12,1
1,13,5
1,14,5
1,15,2
1,16,2
1,17,2
1,18,3
1,19,1
1,20,1
1,21,3
1,22,3
1,23,3
1,24,2
1,25,5
1,26,1
